1981:09:22_21:07m:13   -56   39  -47   20z :  -46   59  -52
1981:10:02_21:07m:13   -56   35  -45   20z :  -47   58  -52
1981:10:12_21:07m:13   -50   36  -43   20z :  -47   57  -52
1981:10:22_21:07m:13   -52   45  -48   20z :  -49   56  -52
1981:11:01_21:07m:13   -65   52  -58   20z :  -50   55  -52
1981:11:11_21:07m:13   -60   64  -62   20z :  -51   54  -53
1981:11:21_21:07m:13   -57   52  -55   20z :  -52   54  -53
1981:12:01_21:07m:13   -57   48  -52   20z :  -53   53  -53
1981:12:11_21:07m:13   -62   55  -58   20z :  -55   52  -53
1981:12:21_21:07m:13   -50   55  -53   20z :  -56   51  -54
1981:12:31_21:07m:13   -63   67  -65   20z :  -57   51  -54
1982:01:10_21:07m:13   -59   71  -65   20z :  -59   50  -54
1982:01:20_21:07m:13   -54   52  -53   20z :  -60   49  -55
1982:01:30_21:07m:13   -43   39  -41   20z :  -62   49  -55
1982:02:09_21:07m:13   -41   35  -38   20z :  -63   48  -56
1982:02:19_21:07m:13   -43   38  -40   20z :  -64   48  -56
1982:03:01_21:07m:13   -43   36  -40   20z :  -66   47  -56
1982:03:11_21:07m:13   -44   33  -39   20z :  -67   47  -57
1982:03:21_21:07m:13   -39   27  -33   20z :  -68   47  -58
1982:03:31_21:07m:13   -53   43  -48   20z :  -70   46  -58
1982:04:10_21:07m:13   -63   69  -66   20z :  -71   46  -59
1982:04:20_21:07m:13   -65   67  -66   20z :  -72   46  -59
1982:04:30_21:07m:13   -69   67  -68   20z :  -73   46  -60
1982:05:10_21:07m:13   -75   63  -69   20z :  -74   46  -60
1982:05:20_21:07m:13   -80   61  -71   20z :  -75   47  -61
1982:05:30_21:07m:13   -76   51  -64   20z :  -76   47  -62
1982:06:09_21:07m:13   -86   51  -69   20z :  -77   47  -62
1982:06:19_21:07m:13   -90   44  -67   20z :  -78   48  -63
1982:06:29_21:07m:13   -91   37  -64   20z :  -79   48  -63
1982:07:09_21:07m:13   -89   27  -58   20z :  -79   49  -64
1982:07:19_21:07m:13   -87   29  -58   20z :  -80   49  -65
1982:07:29_21:07m:13   -96   37  -66   20z :  -80   50  -65
1982:08:08_21:07m:13   -95   33  -64   20z :  -81   51  -66
1982:08:18_21:07m:13  -102   30  -66   20z :  -82   52  -67
1982:08:28_21:07m:13  -102   31  -67   20z :  -82   52  -67
1982:09:07_21:07m:13  -104   23  -64   20z :  -83   53  -68
1982:09:17_21:07m:13  -105   37  -71   20z :  -83   54  -69
1982:09:27_21:07m:13  -109   53  -81   20z :  -83   55  -69
1982:10:07_21:07m:13  -111   57  -84   20z :  -84   56  -70
1982:10:17_21:07m:13  -107   56  -82   20z :  -84   57  -71
1982:10:27_21:07m:13  -112   59  -86   20z :  -85   58  -72
1982:11:06_21:07m:13  -112   68  -90   20z :  -85   59  -72
1982:11:16_21:07m:13  -117   71  -94   20z :  -86   60  -73
1982:11:26_21:07m:13   -99   78  -89   20z :  -87   61  -74
1982:12:06_21:07m:13   -89   98  -94   20z :  -87   63  -75
1982:12:16_21:07m:13   -88  100  -94   20z :  -88   64  -76
1982:12:26_21:07m:13   -74   88  -81   20z :  -88   65  -77
1983:01:05_21:07m:13   -70   92  -81   20z :  -89   66  -77
1983:01:15_21:07m:13   -59   98  -78   20z :  -90   67  -78
1983:01:25_21:07m:13   -50   88  -69   20z :  -90   68  -79
1983:02:04_21:07m:13   -63   85  -74   20z :  -91   69  -80
1983:02:14_21:07m:13   -66   85  -75   20z :  -92   70  -81
1983:02:24_21:07m:13   -85   89  -87   20z :  -92   71  -82
1983:03:06_21:07m:13   -54   70  -62   20z :  -93   72  -83
1983:03:16_21:07m:13   -40   60  -50   20z :  -94   73  -84
1983:03:26_21:07m:13   -38   52  -45   20z :  -94   75  -84
1983:04:05_21:07m:13   -40   52  -46   20z :  -95   76  -85
1983:04:15_21:07m:13   -41   50  -45   20z :  -96   77  -86
1983:04:25_21:07m:13   -50   54  -52   20z :  -96   78  -87
1983:05:05_21:07m:13   -57   50  -54   20z :  -97   79  -88
1983:05:15_21:07m:13   -82   90  -86   20z :  -98   81  -89
