 Year Mon  Area
 1951  7  629.4
 1951  8  353.6
 1951  9  247.6
 1951 10  518.4
 1951 11  363.5
 1951 12   59.9
 1952  1   73.2
 1952  2  272.7
 1952  3  127.5
 1952  4  145.0
 1952  5  244.7
 1952  6  338.2
 1952  7  548.2
 1952  8  305.4
 1952  9  177.2
 1952 10   17.9
 1952 11   39.5
 1952 12  208.3
 1953  1  140.9
 1953  2    0.6
 1953  3   34.7
 1953  4   13.8
 1953  5    1.3
 1953  6   98.2
 1953  7   80.5
 1953  8   21.6
 1953  9   22.1
 1953 10   45.0
 1953 11    7.7
 1953 12    3.7
 1954  1    0.3
 1954  2    0.0
 1954  3  156.8
 1954  4    2.8
 1954  5    0.0
 1954  6    0.0
 1954  7    0.9
 1954  8   33.4
 1954  9    1.5
 1954 10    4.0
 1954 11   50.3
 1954 12   24.5
 1955  1   95.4
 1955  2  101.4
 1955  3   26.9
 1955  4    8.2
 1955  5   37.6
 1955  6  420.9
 1955  7   90.2
 1955  8  284.6
 1955  9  141.7
 1955 10  378.6
 1955 11  678.8
 1955 12  422.3
 1956  1  235.5
 1956  2  834.2
 1956  3  763.6
 1956  4  548.9
 1956  5 1082.6
 1956  6  593.1
 1956  7  861.2
 1956  8 1284.0
 1956  9 1689.9
 1956 10 1232.7
 1956 11 2795.4
 1956 12 1902.2
 1957  1 1050.2
 1957  2  980.6
 1957  3 1238.1
 1957  4 1472.6
 1957  5 1446.7
 1957  6 2737.0
 1957  7 1694.1
 1957  8  970.2
 1957  9 1398.0
 1957 10 2651.2
 1957 11 1616.9
 1957 12 1967.5
 1958  1 1371.0
 1958  2 1606.1
 1958  3 2212.2
 1958  4 1670.2
 1958  5 1264.8
 1958  6  672.2
 1958  7 1767.5
 1958  8 1430.3
 1958  9 2376.4
 1958 10 1749.2
 1958 11 1192.1
 1958 12 1993.1
 1959  1  772.3
 1959  2  123.2
 1959  3  543.6
 1959  4  504.9
 1959  5  804.0
 1959  6  893.4
 1959  7  258.6
 1959  8  749.4
 1959  9  977.2
 1959 10  529.0
 1959 11  681.8
 1959 12  311.9
 1960  1  998.2
 1960  2  554.6
 1960  3  470.9
 1960  4  719.4
 1960  5  996.6
 1960  6  425.2
 1960  7  220.5
 1960  8  877.7
 1960  9  832.1
 1960 10  363.3
 1960 11  221.1
 1960 12  394.6
 1961  1  122.9
 1961  2   95.9
 1961  3  200.8
 1961  4  312.3
 1961  5   31.3
 1961  6  383.4
 1961  7  411.8
 1961  8   39.3
 1961  9  195.3
 1961 10   49.9
 1961 11   31.2
 1961 12  153.5
 1962  1    8.6
 1962  2  344.6
 1962  3  123.0
 1962  4   52.2
 1962  5  373.8
 1962  6  260.3
 1962  7   30.5
 1962  8   10.9
 1962  9  108.7
 1962 10  111.9
 1962 11  179.6
 1962 12   66.4
 1963  1    4.6
 1963  2   75.2
 1963  3   16.1
 1963  4  215.8
 1963  5  112.4
 1963  6   18.1
 1963  7    0.3
 1963  8   82.1
 1963  9   94.0
 1963 10   16.1
 1963 11   34.8
 1963 12   47.0
 1964  1   46.8
 1964  2   17.2
 1964  3    8.2
 1964  4   10.0
 1964  5    6.4
 1964  6    1.7
 1964  7    0.2
 1964  8    0.0
 1964  9    0.0
 1964 10    3.6
 1964 11    3.8
 1964 12   19.5
 1965  1    0.0
 1965  2    3.2
 1965  3    0.2
 1965  4    4.6
 1965  5    0.8
 1965  6   79.0
 1965  7    0.6
 1965  8    7.1
 1965  9    3.1
 1965 10   74.2
 1965 11    4.7
 1965 12   15.8
 1966  1   59.1
 1966  2    0.0
 1966  3    0.0
 1966  4    1.9
 1966  5   70.0
 1966  6   45.4
 1966  7   51.5
 1966  8    7.9
 1966  9   41.9
 1966 10   69.8
 1966 11    4.8
 1966 12  334.1
 1967  1  767.0
 1967  2  324.2
 1967  3  701.4
 1967  4  394.9
 1967  5  374.6
 1967  6  200.6
 1967  7  267.8
 1967  8  695.7
 1967  9  363.6
 1967 10  335.5
 1967 11  371.0
 1967 12 1030.4
 1968  1  934.1
 1968  2  353.6
 1968  3  412.5
 1968  4  297.0
 1968  5  796.5
 1968  6  715.3
 1968  7  428.3
 1968  8  893.6
 1968  9  591.4
 1968 10  609.4
 1968 11  574.4
 1968 12  696.7
 1969  1  497.7
 1969  2  389.4
 1969  3  523.4
 1969  4  368.2
 1969  5  783.7
 1969  6  716.6
 1969  7  750.7
 1969  8  677.7
 1969  9  395.9
 1969 10  315.4
 1969 11  201.8
 1969 12  710.5
 1970  1 1307.6
 1970  2 1491.0
 1970  3  661.6
 1970  4 1192.6
 1970  5  971.8
 1970  6  408.5
 1970  7  697.5
 1970  8  295.3
 1970  9  252.6
 1970 10  317.8
 1970 11  286.6
 1970 12  316.4
 1971  1  916.3
 1971  2  680.5
 1971  3  488.5
 1971  4  389.0
 1971  5   84.4
 1971  6  301.3
 1971  7  542.8
 1971  8 1004.9
 1971  9  377.2
 1971 10  244.7
 1971 11  691.8
 1971 12  696.4
 1972  1  381.0
 1972  2  696.0
 1972  3  676.8
 1972  4  399.9
 1972  5  933.2
 1972  6 1000.0
 1972  7  473.3
 1972  8  397.1
 1972  9  443.8
 1972 10  932.9
 1972 11  526.4
 1972 12  198.8
 1973  1   43.4
 1973  2  165.2
 1973  3  397.4
 1973  4  474.4
 1973  5  257.4
 1973  6  248.4
 1973  7   66.2
 1973  8  131.4
 1973  9  325.8
 1973 10  233.8
 1973 11  195.6
 1973 12  223.1
 1974  1  159.9
 1974  2  241.0
 1974  3   69.5
 1974  4  491.0
 1974  5  360.6
 1974  6  200.0
 1974  7  831.0
 1974  8  367.3
 1974  9  176.1
 1974 10  209.8
 1974 11   10.1
 1974 12   11.3
 1975  1   19.5
 1975  2   11.9
 1975  3   54.9
 1975  4    0.7
 1975  5   59.3
 1975  6   22.3
 1975  7  131.4
 1975  8   29.1
 1975  9   40.1
 1975 10    0.4
 1975 11  156.7
 1975 12    7.3
 1976  1  115.5
 1976  2   11.2
 1976  3  202.1
 1976  4  208.0
 1976  5   63.2
 1976  6   34.4
 1976  7    6.4
 1976  8   33.4
 1976  9   54.6
 1976 10   78.8
 1976 11    0.4
 1976 12   89.0
 1977  1   88.3
 1977  2  158.0
 1977  3    2.7
 1977  4  118.8
 1977  5   37.9
 1977  6  303.3
 1977  7   37.0
 1977  8   54.0
 1977  9  180.1
 1977 10  152.2
 1977 11   82.1
 1977 12  414.4
 1978  1  259.7
 1978  2  341.8
 1978  3  411.9
 1978  4  259.9
 1978  5  316.1
 1978  6  413.2
 1978  7  184.5
 1978  8  327.3
 1978  9  625.6
 1978 10  815.7
 1978 11  793.8
 1978 12 1419.5
 1979  1 1409.2
 1979  2  851.7
 1979  3  788.5
 1979  4  640.5
 1979  5  374.1
 1979  6  967.8
 1979  7  686.3
 1979  8  837.0
 1979  9  570.7
 1979 10  610.5
 1979 11 1717.1
 1979 12 1402.1
 1980  1  879.5
 1980  2 1125.8
 1980  3  614.4
 1980  4 1480.7
 1980  5 2329.4
 1980  6 1449.2
 1980  7 1376.5
 1980  8  569.5
 1980  9  777.7
 1980 10 1382.8
 1980 11 1654.8
 1980 12 1085.2
 1981  1  715.6
 1981  2  972.5
 1981  3 1017.9
 1981  4  282.8
 1981  5  569.7
 1981  6  826.2
 1981  7 2717.1
 1981  8 1015.2
 1981  9  981.4
 1981 10 2590.6
 1981 11 1432.2
 1981 12 1182.5
 1982  1  922.6
 1982  2 2442.5
 1982  3 1660.6
 1982  4  676.3
 1982  5  835.9
 1982  6 1076.6
 1982  7  427.7
 1982  8  846.3
 1982  9  959.5
 1982 10  893.7
 1982 11 1438.7
 1982 12 1792.5
 1983  1  700.0
 1983  2  810.0
 1983  3  859.0
 1983  4  882.0
 1983  5 1380.1
 1983  6 1205.4
 1983  7  882.5
 1983  8  750.1
 1983  9  522.2
 1983 10  255.6
 1983 11  152.1
 1983 12  211.8
 1984  1  427.2
 1984  2  888.8
 1984  3  755.1
 1984  4 1391.1
 1984  5  832.8
 1984  6  472.7
 1984  7  188.8
 1984  8  131.9
 1984  9  104.5
 1984 10   15.4
 1984 11  187.1
 1984 12   73.6
 1985  1  158.5
 1985  2   26.0
 1985  3   19.4
 1985  4   19.1
 1985  5  266.5
 1985  6  194.6
 1985  7  341.4
 1985  8   34.8
 1985  9   18.2
 1985 10    3.6
 1985 11   78.4
 1985 12   20.3
 1986  1   31.6
 1986  2  398.5
 1986  3   22.6
 1986  4   14.9
 1986  5    2.7
 1986  6    0.5
 1986  7   12.6
 1986  8    2.7
 1986  9    0.0
 1986 10   84.0
 1986 11   16.8
 1986 12    9.0
 1987  1   12.6
 1987  2    2.0
 1987  3   12.2
 1987  4  437.3
 1987  5  142.3
 1987  6   28.9
 1987  7  189.2
 1987  8  476.0
 1987  9  203.0
 1987 10  170.7
 1987 11  431.2
 1987 12  282.7
 1988  1  371.2
 1988  2   51.7
 1988  3  478.7
 1988  4  361.7
 1988  5  373.0
 1988  6 1213.8
 1988  7 1299.7
 1988  8  711.3
 1988  9  819.0
 1988 10  919.5
 1988 11  674.8
 1988 12  760.5
 1989  1 1637.5
 1989  2  791.5
 1989  3  621.9
 1989  4 1201.7
 1989  5 1012.1
 1989  6 1699.1
