 Year Mon  Area
 1954  9    0.7
 1954 10   11.7
 1954 11    7.5
 1954 12   81.6
 1955  1  445.5
 1955  2  186.0
 1955  3   10.3
 1955  4   71.9
 1955  5  264.5
 1955  6   69.6
 1955  7  126.2
 1955  8  289.5
 1955  9  295.1
 1955 10  542.7
 1955 11  985.8
 1955 12  654.5
 1956  1 1348.5
 1956  2 2044.1
 1956  3 1092.2
 1956  4  869.7
 1956  5 1137.9
 1956  6 1080.3
 1956  7 1011.6
 1956  8 1732.2
 1956  9  908.5
 1956 10 1152.7
 1956 11 1028.0
 1956 12 1507.5
 1957  1 1277.9
 1957  2  474.0
 1957  3  576.1
 1957  4  591.4
 1957  5 1122.0
 1957  6 1798.8
 1957  7 1456.2
 1957  8 1386.4
 1957  9 3156.0
 1957 10 1822.5
 1957 11 1394.7
 1957 12 2302.6
 1958  1 1623.3
 1958  2  940.5
 1958  3 2225.4
 1958  4 1933.0
 1958  5 1443.0
 1958  6 1928.1
 1958  7 1531.3
 1958  8 1468.8
 1958  9  964.2
 1958 10  847.9
 1958 11  685.8
 1958 12 1238.7
 1959  1 4129.7
 1959  2 2287.1
 1959  3 3196.6
 1959  4 2196.1
 1959  5 2003.4
 1959  6 2187.6
 1959  7 2426.2
 1959  8 2786.5
 1959  9 1438.0
 1959 10  936.1
 1959 11 1704.4
 1959 12 2034.7
 1960  1 1537.9
 1960  2 1250.7
 1960  3  720.8
 1960  4 1067.1
 1960  5 1082.2
 1960  6  989.2
 1960  7 1636.7
 1960  8 1156.3
 1960  9  607.1
 1960 10  805.3
 1960 11 1255.1
 1960 12  512.0
 1961  1  649.8
 1961  2  261.7
 1961  3  311.8
 1961  4  325.8
 1961  5  428.6
 1961  6  578.5
 1961  7  743.7
 1961  8  459.2
 1961  9  767.8
 1961 10  279.1
 1961 11  283.6
 1961 12  244.8
 1962  1  585.2
 1962  2  482.3
 1962  3  570.0
 1962  4  502.0
 1962  5  260.2
 1962  6  102.5
 1962  7  232.4
 1962  8  129.4
 1962  9  548.8
 1962 10  259.6
 1962 11  111.5
 1962 12  107.5
 1963  1  170.0
 1963  2  118.9
 1963  3  128.3
 1963  4   87.2
 1963  5  394.7
 1963  6  331.4
 1963  7  147.6
 1963  8  240.3
 1963  9  528.7
 1963 10  417.8
 1963 11  150.5
 1963 12   22.0
 1964  1   58.3
 1964  2   66.8
 1964  3  141.7
 1964  4    7.8
 1964  5   24.5
 1964  6   23.4
 1964  7    7.5
 1964  8   51.5
 1964  9   16.6
 1964 10   21.0
 1964 11   23.3
 1964 12   87.1
 1965  1  145.9
 1965  2  109.3
 1965  3   52.7
 1965  4   19.0
 1965  5  223.7
 1965  6   15.1
 1965  7   72.8
 1965  8   14.9
 1965  9  153.1
 1965 10  101.1
 1965 11  134.9
 1965 12  123.8
 1966  1  224.0
 1966  2  240.3
 1966  3  563.8
 1966  4  785.0
 1966  5  341.9
 1966  6  273.4
 1966  7  710.6
 1966  8  513.6
 1966  9  897.5
 1966 10  568.0
 1966 11  705.6
 1966 12  600.7
 1967  1 1073.3
 1967  2 1169.0
 1967  3 1380.1
 1967  4  497.3
 1967  5 1356.0
 1967  6  825.1
 1967  7 1208.6
 1967  8 1432.9
 1967  9  522.5
 1967 10  781.9
 1967 11 1182.4
 1967 12  973.9
 1968  1 1548.6
 1968  2 1525.7
 1968  3  704.9
 1968  4  705.0
 1968  5 1107.6
 1968  6 1123.3
 1968  7 1053.6
 1968  8  747.0
 1968  9  673.0
 1968 10  797.3
 1968 11  560.0
 1968 12  988.3
 1969  1 1073.3
 1969  2  882.9
 1969  3 1663.9
 1969  4 1140.5
 1969  5  551.8
 1969  6 1077.3
 1969  7  416.9
 1969  8  522.4
 1969  9  449.9
 1969 10 1258.7
 1969 11 1496.9
 1969 12  536.0
 1970  1  285.7
 1970  2  765.0
 1970  3  721.2
 1970  4  727.5
 1970  5 1155.1
 1970  6 1121.1
 1970  7  948.7
 1970  8 1015.6
 1970  9 1003.8
 1970 10  953.4
 1970 11 1279.7
 1970 12 1038.9
 1971  1 1026.2
 1971  2  753.3
 1971  3  199.6
 1971  4  495.0
 1971  5  617.4
 1971  6  186.1
 1971  7  579.3
 1971  8  151.2
 1971  9  221.8
 1971 10  709.9
 1971 11  222.1
 1971 12  302.9
 1972  1  141.4
 1972  2  642.2
 1972  3  530.8
 1972  4  172.5
 1972  5  385.4
 1972  6  321.9
 1972  7  455.8
 1972  8  654.6
 1972  9  160.9
 1972 10   84.2
 1972 11   28.5
 1972 12  362.8
 1973  1  355.7
 1973  2  258.5
 1973  3  324.6
 1973  4  290.7
 1973  5  154.1
 1973  6  192.6
 1973  7  215.4
 1973  8  130.8
 1973  9  557.6
 1973 10  173.2
 1973 11   47.1
 1973 12   28.3
 1974  1   44.7
